,actor_1,actor_2,actor_3,country,director,genre_1,genre_2,imdb_link,rating_people,rating_score,runtime,screenwriter,star4,star5,title,year
10,莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩,www.titanicmovie.com,詹姆斯·卡梅隆,剧情,爱情,http://www.titanicmovie.com,562633,9.1,194分钟,詹姆斯·卡梅隆,27.7%,65.2%,泰坦尼克号 Titanic,1997
11,阿米尔·汗,卡琳娜·卡普尔,马达范,印度,拉吉库马尔·希拉尼,剧情,喜剧,http://www.imdb.com/title/tt1187043,578135,9.1,171分钟(印度),Vidhu Vinod Chopra,26.2%,66.0%,三傻大闹宝莱坞 3 Idiots,2009
12,杰拉尔·朱诺,让-巴蒂斯特·莫尼耶,弗朗索瓦·贝利昂,法国/瑞士/德国,克里斯托夫·巴拉蒂,剧情,音乐,http://www.imdb.com/title/tt0372824,390609,9.2,97 分钟,Georges Chaperot,30.2%,64.3%,放牛班的春天 Les choristes,2004
13,理查·基尔,萨拉·罗默尔,琼·艾伦,美国/英国,莱塞·霍尔斯道姆,剧情,,http://www.imdb.com/title/tt1028532,375714,9.2,93分钟,Stephen P. Lindsey,26.7%,66.7%,忠犬八公的故事 Hachi: A Dog's Tale,2009
14,周星驰,吴孟达,朱茵,香港/中国大陆,刘镇伟,喜剧,动作,http://www.imdb.com/title/tt0114996,388782,9.1,95分钟,刘镇伟,27.3%,64.6%,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,1995
15,日高法子,坂本千夏,岛本须美,日本,宫崎骏,动画,奇幻,http://www.imdb.com/title/tt0096283,363738,9.1,86 分钟,宫崎骏,29.7%,63.4%,龙猫 となりのトトロ,1988
16,马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩,美国,弗朗西斯·福特·科波拉,剧情,犯罪,http://www.imdb.com/title/tt0068646,298281,9.2,175 分钟,马里奥·普佐,25.7%,67.5%,教父 The Godfather,1972
17,克拉克·盖博,费雯·丽,莱斯利·霍华德,美国,维克多·弗莱明,剧情,爱情,http://www.imdb.com/title/tt0031381,236898,9.2,238 分钟(美国修复版DVD),西德尼·霍华德,27.4%,66.5%,乱世佳人 Gone with the Wind,1939
18,安东娜拉·塔莉,恩佐·卡拉瓦勒,艾萨·丹尼埃利,意大利/法国,朱塞佩·托纳多雷,剧情,爱情,http://www.imdb.com/title/tt0095765,273063,9.1,155分钟,Carl Paoli,30.0%,63.3%,天堂电影院 Nuovo Cinema Paradiso,1988
19,金·凯瑞,劳拉·琳妮,艾德·哈里斯,美国,彼得·威尔,剧情,,http://www.imdb.com/title/tt0120382,377467,9.0,103 分钟,安德鲁·尼科尔,35.0%,57.5%,楚门的世界 The Truman Show,1998
20,威尔·史密斯,贾登·史密斯,坦迪·牛顿,美国,加布里尔·穆奇诺,剧情,家庭,http://www.imdb.com/title/tt0454921,471785,8.9,117分钟,史帝文·康拉德,35.7%,55.1%,当幸福来敲门 The Pursuit of Happyness,2006
21,,,,,,,,,,,,,,,,
22,弗朗索瓦·克鲁塞,奥玛·赛,安乐妮,法国,奥利维·那卡什,剧情,喜剧,http://www.imdb.com/title/tt1675434,314561,9.1,112分钟,奥利维·那卡什,31.5%,62.7%,触不可及 Intouchables,2011
