,actor_1,actor_2,actor_3,country,director,genre_1,genre_2,imdb_link,rating_people,rating_score,runtime,screenwriter,star4,star5,title,year
114,志田未来,神木隆之介,三浦友和,http,米林宏昌,动画,奇幻,http://karigurashi.jp/,187071,8.7,94分钟,宫崎骏,41.7%,46.0%,借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,2010
115,达斯汀·霍夫曼,汤姆·克鲁斯,瓦莱莉·高利诺,美国,巴瑞·莱文森,剧情,,http://www.imdb.com/title/tt0095953,183731,8.6,133分钟,罗纳德·巴斯,46.2%,42.3%,雨人 Rain Man,1988
116,戴夫·帕特尔,芙蕾达·平托,亚尼·卡普,www.foxsearchlight.com/slumdogmillionaire/,丹尼·博伊尔,剧情,爱情,http://www.foxsearchlight.com/slumdogmillionaire/,356358,8.5,120 分钟,西蒙·博福伊,45.1%,40.0%,贫民窟的百万富翁 Slumdog Millionaire,2008
117,吴君如,任达华,钟绍图,香港/中国大陆,罗启锐,剧情,家庭,http://www.imdb.com/title/tt1602572,270030,8.6,117分钟,罗启锐,40.9%,45.2%,岁月神偷 歲月神偷,2010
118,尼古拉斯·凯奇,瑞恩·雷诺兹,艾玛·斯通,美国,柯克·德·米科,喜剧,动画,http://www.imdb.com/title/tt0481499,327750,8.8,98分钟,克里斯·桑德斯,37.4%,50.7%,疯狂原始人 The Croods,2013
119,盖·皮尔斯,凯瑞-安·莫斯,乔·潘托里亚诺,美国,克里斯托弗·诺兰,剧情,悬疑,http://www.imdb.com/title/tt0209144,238892,8.5,113 分钟,克里斯托弗·诺兰,42.8%,42.3%,记忆碎片 Memento,2000
120,张国荣,张曼玉,梁朝伟,香港/台湾,王家卫,剧情,动作,http://www.imdb.com/title/tt0109688,217369,8.5,100分钟,王家卫,38.3%,45.5%,东邪西毒 東邪西毒,1994
121,三船敏郎,志村乔,稻叶义男,日本,黑泽明,剧情,动作,http://www.imdb.com/title/tt0047478,62833,9.1,160分钟(国际版),黑泽明,27.8%,65.0%,七武士 七人の侍,1954
122,张国荣,王祖贤,午马,香港,程小东,剧情,爱情,http://www.imdb.com/title/tt0093978,206986,8.5,98分钟(香港),阮继志,44.9%,41.6%,倩女幽魂,1987
123,丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,www.harrypotter.co.uk,克里斯·哥伦布,奇幻,冒险,http://www.harrypotter.co.uk,200818,8.6,152分钟,斯蒂芬·科洛弗,41.8%,43.7%,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,2001
124,阿萨·巴特菲尔德,维拉·法米加,大卫·休里斯,英国/美国,马克·赫尔曼,剧情,战争,http://www.imdb.com/title/tt0914798,109286,8.8,94 分钟,马克·赫尔曼,41.2%,50.0%,穿条纹睡衣的男孩 The Boy in the Striped Pajamas,2008
125,仲里依纱,石田卓也,板仓光隆,www.kadokawa.co.jp/tokikake/,细田守,剧情,爱情,http://www.kadokawa.co.jp/tokikake/,158645,8.6,98分钟,奥寺佐渡子,39.9%,46.6%,穿越时空的少女 時をかける少女,2006
126,尊龙,陈冲,彼得·奥图尔,意大利/中国大陆/英国/法国,贝纳尔多·贝托鲁奇,剧情,传记,http://www.imdb.com/title/tt0093389,127702,8.7,163分钟,贝纳尔多·贝托鲁奇,39.4%,49.3%,末代皇帝 The Last Emperor,1987
127,约翰·古德曼,比利·克里斯托,玛丽·吉布斯,www.monstersinc.com,彼特·道格特,喜剧,动画,http://www.monstersinc.com,200871,8.6,92 分钟,安德鲁·斯坦顿,44.6%,42.0%,"怪兽电力公司 Monsters, Inc.",2001
128,费雯·丽,罗伯特·泰勒,露塞尔·沃特森,美国,茂文·勒鲁瓦,剧情,爱情,http://www.imdb.com/title/tt0033238,113939,8.8,108 分钟,乔治·弗罗斯切尔,40.8%,48.9%,魂断蓝桥 Waterloo Bridge,1940
129,瑞恩·高斯林,瑞秋·麦克亚当斯,吉娜·罗兰兹,美国,尼克·卡索维茨,剧情,爱情,http://www.imdb.com/title/tt0332280,234146,8.5,123分钟,扬·萨尔迪,40.9%,42.5%,恋恋笔记本 The Notebook,2004
130,伊万·麦克格雷格,艾文·布莱纳,约翰尼·李·米勒,英国,丹尼·博伊尔,剧情,犯罪,http://www.imdb.com/title/tt0117951,212266,8.5,94 分钟,埃文·威尔什,40.3%,44.0%,猜火车 Trainspotting,1996
131,唐·钱德尔,苏菲·奥康内多,杰昆·菲尼克斯,http,特瑞·乔治,剧情,历史,http://www.mgm.com/ua/hotelrwanda/main.html,99149,8.8,121 分钟,凯尔·皮尔森,40.7%,50.5%,卢旺达饭店 Hotel Rwanda,2004
132,,,,,,,,,,,,,,,,
133,娜塔莉·波特曼,米拉·库尼斯,薇诺娜·瑞德,美国,达伦·阿伦诺夫斯基,剧情,惊悚,http://www.imdb.com/title/tt0947798,365703,8.5,108分钟,安德雷斯·海因斯,45.9%,39.8%,黑天鹅 Black Swan,2010
134,本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯,美国,大卫·芬奇,剧情,悬疑,http://www.imdb.com/title/tt2267998,288314,8.7,149分钟,吉莉安·弗琳,42.9%,46.9%,消失的爱人 Gone Girl,2014
135,河正宇,李璟荣,全慧珍,韩国,金秉祐,剧情,悬疑,http://www.imdb.com/title/tt2990738,165713,8.7,97分钟,金秉祐,40.9%,47.8%,恐怖直播 ? ?? ???,2013
136,凯拉·奈特莉,马修·麦克费登,唐纳德·萨瑟兰,法国/英国/美国,乔·赖特,剧情,爱情,http://www.imdb.com/title/tt0414387,254694,8.4,129 分钟,黛博拉·莫盖茨,43.7%,39.4%,傲慢与偏见 Pride & Prejudice,2005
137,凯文·科斯特纳,劳拉·邓恩,克林特·伊斯特伍德,美国,克林特·伊斯特伍德,剧情,犯罪,http://www.imdb.com/title/tt0107808,65878,9.0,138分钟,约翰·李·汉考克,33.2%,58.9%,完美的世界 A Perfect World,1993
138,阿尔·帕西诺,黛安·基顿,塔莉娅·夏尔,美国,弗朗西斯·福特·科波拉,剧情,犯罪,http://www.imdb.com/title/tt0099674,109139,8.7,162 分钟,马里奥·普佐,37.4%,50.2%,教父3 The Godfather: Part III,1990
139,水桥研二,近藤好美 ,尾上绫华,www.cwfilms.jp/5cm/,新海诚,剧情,爱情,http://www.cwfilms.jp/5cm/,238635,8.4,63分钟,新海诚,35.9%,44.6%,秒速5厘米 秒速5センチメートル,2007
140,汤姆·汉克斯,蒂姆·艾伦,琼·库萨克,http,李·昂克里奇,喜剧,动画,http://disney.go.com/toystory/,172101,8.8,103分钟,迈克尔·阿恩特,36.8%,50.8%,玩具总动员3 Toy Story 3,2010
141,林原惠美,古谷彻,江守彻,日本,今敏,科幻,动画,http://www.imdb.com/title/tt0851578,98485,8.8,90 分钟,水上清资,37.2%,52.1%,红辣椒 パプリカ,2006
142,周润发,狄龙,张国荣,香港,吴宇森,动作,犯罪,http://www.imdb.com/title/tt0092263,121743,8.7,95分钟,陈庆嘉,41.7%,46.5%,英雄本色,1986
143,西恩·潘,达科塔·范宁,米歇尔·菲佛,美国,杰茜·尼尔森,剧情,家庭,http://www.imdb.com/title/tt0277027,86398,8.8,132 分钟,杰茜·尼尔森,38.1%,52.1%,我是山姆 I Am Sam,2001
144,海利·乔·奥斯蒙,弗兰西丝·奥康纳,山姆·洛巴兹,http,史蒂文·斯皮尔伯格,剧情,科幻,http://aimovie.warnerbros.com/,164934,8.6,146分钟,Ian Watson,38.7%,45.5%,人工智能 Artificial Intelligence: AI,2001
145,吉恩·凯利,唐纳德·奥康纳,黛比·雷诺斯,美国,斯坦利·多南,喜剧,爱情,http://www.imdb.com/title/tt0045152,77782,8.9,103 分钟,Adolph Green,36.0%,55.0%,雨中曲 Singin' in the Rain,1952
146,周润发,张国荣,钟楚红,香港,吴宇森,剧情,喜剧,http://www.imdb.com/title/tt0101020,117432,8.7,108分钟,吴宇森,41.6%,46.6%,纵横四海 緃横四海,1991
147,本·卫肖,艾伦·瑞克曼,蕾切儿·哈伍德,http,汤姆·提克威,剧情,犯罪,http://www.parfum.film.de/,238352,8.4,147分钟,安德鲁·伯金,43.3%,40.2%,香水 Perfume: The Story of a Murderer,2006
148,雷·罗马诺,约翰·雷吉扎莫,丹尼斯·利瑞,美国,卡洛斯·沙尔丹哈,喜剧,动画,http://www.imdb.com/title/tt0268380,236607,8.4,81 分钟,迈克尔·伯格 ,48.5%,36.8%,冰川时代 Ice Age,2002
149,桑德拉·布洛克,唐·钱德尔,马特·狄龙,http,保罗·哈吉斯,剧情,犯罪,http://www.crashfilm.com/,153114,8.6,112分钟,保罗·哈吉斯,42.3%,43.7%,撞车 Crash,2004
150,佐仓绫音,内山昂辉,,www.hotarubi.info,大森贵弘,剧情,爱情,http://www.hotarubi.info,125886,8.8,45分钟,绿川幸,35.2%,52.0%,萤火之森 蛍火の杜へ,2011
151,约根·沃格尔,詹妮弗·乌尔里希,马克思·雷迈特,德国,丹尼斯·甘塞尔,剧情,,http://www.imdb.com/title/tt1063669,107765,8.7,107 分钟,丹尼斯·甘塞尔,42.2%,47.3%,浪潮 Die Welle,2008
152,赵文瑄,归亚蕾,金素梅,台湾/美国,李安,剧情,喜剧,http://www.imdb.com/title/tt0107156,108785,8.7,106 分钟,李安,45.4%,45.4%,喜宴,1993
153,让-马克·巴尔,让·雷诺,罗姗娜·阿奎特,法国/美国/意大利,吕克·贝松,剧情,爱情,http://www.imdb.com/title/tt0095250,98636,8.7,168 分钟(director's cut),吕克·贝松,36.5%,50.7%,碧海蓝天 Le grand bleu,1988
154,凯特·温丝莱特,拉尔夫·费因斯,大卫·克劳斯,美国/德国,史蒂芬·戴德利,剧情,爱情,http://www.imdb.com/title/tt0976051,247081,8.5,124 分钟,戴维·黑尔,47.2%,38.3%,朗读者 The Reader,2008
155,杰里米·西奥伯德,亚历克斯·霍,露西·拉塞尔,英国,克里斯托弗·诺兰,悬疑,惊悚,http://www.imdb.com/title/tt0154506,64255,9.0,70分钟,克里斯托弗·诺兰,36.2%,56.2%,追随 Following,1998
156,比尔·奈伊,肯尼思·布拉纳,菲利普·塞默·霍夫曼,英国/德国/法国,理查德·柯蒂斯,剧情,喜剧,http://www.imdb.com/title/tt1131729,150994,8.6,116 分钟,理查德·柯蒂斯,35.9%,49.3%,海盗电台 The Boat That Rocked,2009
157,多布杰,张磊,亓亮,中国大陆/香港,陆川,剧情,,http://www.imdb.com/title/tt0386651,111384,8.6,85分钟(中国大陆),陆川,41.8%,45.5%,可可西里,2004
158,桥本爱,三浦贵大,松冈茉优,日本,森淳一,剧情,,http://www.imdb.com/title/tt3474600,90857,8.9,111分钟,五十岚大介,35.9%,54.8%,小森林 夏秋篇 リトル?フォレスト 夏?秋,2014
159,艾伦·伯斯汀,杰瑞德·莱托,詹妮弗·康纳利,美国,达伦·阿伦诺夫斯基,剧情,,http://www.imdb.com/title/tt0180093,91764,8.7,102分钟,达伦·阿伦诺夫斯基,35.8%,51.5%,梦之安魂曲 Requiem for a Dream,2000
160,尼古拉斯·凯奇,布丽姬·穆娜,杰瑞德·莱托,美国/法国,安德鲁·尼科尔,剧情,犯罪,http://www.imdb.com/title/tt0399295,151138,8.5,122 分钟,安德鲁·尼科尔,45.4%,40.5%,战争之王 Lord of War,2005
161,丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,美国/英国,大卫·叶茨,剧情,悬疑,http://www.imdb.com/title/tt1201607,233747,8.6,130分钟,斯蒂芬·科洛弗,36.0%,48.5%,哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,2011
162,三船敏郎,千秋实,京町子,日本,黑泽明,剧情,悬疑,http://www.imdb.com/title/tt0042876,100919,8.7,88分钟,黑泽明,39.4%,48.0%,罗生门 羅生門,1950
163,柳承龙,朴信惠,郑镇荣,www.7gift.kr,李焕庆,剧情,喜剧,http://www.7gift.kr,134988,8.6,127分钟,李焕庆,38.0%,48.0%,7号房的礼物 7??? ??,2013
164,周星驰,张柏芝,莫文蔚,香港,周星驰,剧情,喜剧,http://www.imdb.com/title/tt0188766,244997,8.3,85分钟,曾瑾昌,43.7%,37.6%,喜剧之王 喜劇之王,1999
165,Philippe Labro,雅克·贝汉,,法国/德国/意大利/西班牙/瑞士,雅克·贝汉,纪录片,,http://www.imdb.com/title/tt0301727,46931,9.1,98分钟(法国),Francis Roux,29.4%,63.4%,迁徙的鸟 Le peuple migrateur,2001
166,埃米尔·赫斯基,马西娅·盖伊·哈登,威廉·赫特,美国,西恩·潘,剧情,传记,http://www.imdb.com/title/tt0758758,110369,8.6,148分钟,西恩·潘,35.5%,49.6%,荒野生存 Into the Wild,2007
167,蕾拉·哈塔米,佩曼·莫阿迪,沙哈布·侯赛尼,伊朗,阿斯哈·法哈蒂,剧情,家庭,http://www.imdb.com/title/tt1832382,111424,8.7,123分钟,阿斯哈·法哈蒂,41.0%,47.1%,一次别离 ????? ???? ?? ?????,2011
168,梁朝伟,张曼玉,潘迪华,香港/法国,王家卫,剧情,爱情,http://www.imdb.com/title/tt0118694,199183,8.4,98 分钟,王家卫,46.0%,37.6%,花样年华 花樣年華,2000
169,马特·达蒙,弗兰卡·波坦特,克里斯·库珀,www.thebourneidentity.com,道格·里曼,动作,悬疑,http://www.thebourneidentity.com,164978,8.5,119分钟,托尼·吉尔罗伊,45.2%,39.2%,谍影重重 The Bourne Identity,2002
170,马特·达蒙,弗兰卡·波坦特,布莱恩·考克斯,www.thebournesupremacy.com,保罗·格林格拉斯,动作,悬疑,http://www.thebournesupremacy.com,134845,8.5,108分钟,罗伯特·鲁德鲁姆,45.9%,40.4%,谍影重重2 The Bourne Supremacy,2004
171,肖恩·康纳利,尼古拉斯·凯奇,艾德·哈里斯,美国,迈克尔·贝,动作,冒险,http://www.imdb.com/title/tt0117500,123038,8.5,136分钟,大卫·韦斯伯格,44.2%,41.8%,勇闯夺命岛 The Rock,1996
172,多姆纳尔·格里森,瑞秋·麦克亚当斯,比尔·奈伊,www.abouttimemovie.com,理查德·柯蒂斯,剧情,爱情,http://www.abouttimemovie.com,151953,8.6,123分钟,理查德·柯蒂斯,40.4%,44.4%,时空恋旅人 About Time,2013
173,汤姆·汉克斯,大卫·摩斯,迈克·克拉克·邓肯,美国,弗兰克·德拉邦特,剧情,悬疑,http://www.imdb.com/title/tt0120689,89155,8.7,189 分钟,弗兰克·德拉邦特,38.8%,48.2%,绿里奇迹 The Green Mile,1999
174,三上博史,恰拉,伊藤步,日本,岩井俊二,剧情,犯罪,http://www.imdb.com/title/tt0117797,96499,8.6,146分钟(德国),岩井俊二,37.6%,48.1%,燕尾蝶 スワロウテイル,1996
175,达席尔·萨法瑞,阿米尔·汗,塔奈·切赫达,www.taarezameenpar.com,阿米尔·汗,剧情,家庭,http://www.taarezameenpar.com,64551,8.8,165分钟,阿莫尔·古普特,35.7%,53.5%,地球上的星星 Taare Zameen Par,2007
176,亨弗莱·鲍嘉,英格丽·褒曼,保罗·亨雷德,美国,迈克尔·柯蒂斯,剧情,爱情,http://www.imdb.com/title/tt0034583,106181,8.6,102 分钟,朱利叶斯·J·爱泼斯坦,41.7%,44.5%,卡萨布兰卡 Casablanca,1942
177,霍卫民,王笑天,罗芸,中国大陆,忻钰坤,剧情,悬疑,http://www.imdb.com/title/tt4078856,113953,8.6,110分钟(中国大陆),忻钰坤,47.3%,41.3%,心迷宫,2014
178,周星驰,巩俐,陈百祥,香港,李力持,喜剧,爱情,http://www.imdb.com/title/tt0108289,257052,8.3,102 分钟,李力持,45.9%,35.3%,唐伯虎点秋香 唐伯虎點秋香,1993
179,拉尔夫·费因斯,克里斯汀·斯科特·托马斯,朱丽叶·比诺什,美国/英国,安东尼·明格拉,剧情,爱情,http://www.imdb.com/title/tt0116209,156268,8.4,162分钟,迈克尔·翁达杰,44.0%,39.8%,英国病人 The English Patient,1996
180,张国荣,张曼玉,刘嘉玲,香港,王家卫,剧情,爱情,http://www.imdb.com/title/tt0101258,145306,8.5,94 分钟,王家卫,46.3%,39.1%,阿飞正传 阿飛正傳,1990
181,詹姆斯·沃克,特里特·威廉斯,多米尼克·斯科特·凯伊,美国,彼得·维纳,剧情,传记,http://www.imdb.com/title/tt1292594,93381,8.6,98分钟,托马斯·瑞克曼,42.1%,45.0%,叫我第一名 Front of the Class,2008
182,约翰·特拉沃尔塔,尼古拉斯·凯奇,琼·艾伦,美国,吴宇森,动作,科幻,http://www.imdb.com/title/tt0119094,186840,8.4,138分钟,麦克·韦柏,48.0%,35.7%,变脸 Face/Off,1997
183,斯科特·安第斯,瑞恩·波特,丹尼尔·海尼,www.disneyanimation.com/projects/bighero6,唐·霍尔,喜剧,动作,http://www.disneyanimation.com/projects/bighero6,307784,8.6,102分钟,乔丹·罗伯茨,40.7%,45.6%,超能陆战队 Big Hero 6,2014
184,珍妮特·利,安东尼·博金斯,维拉·迈尔斯,美国,阿尔弗雷德·希区柯克,悬疑,恐怖,http://www.imdb.com/title/tt0054215,66367,8.8,109分钟,约瑟夫·斯蒂凡诺,39.2%,51.7%,惊魂记 Psycho,1960
185,大卫·李·史密斯,托尼·托德,约翰·比灵斯列,美国,理查德·沙因克曼,剧情,科幻,http://www.imdb.com/title/tt0756683,145905,8.5,87 分钟,杰罗姆·比克斯比,36.6%,45.5%,这个男人来自地球 The Man from Earth,2007
186,克里斯蒂安·贝尔,汤姆·哈迪,安妮·海瑟薇,www.thedarkknightrises.com,克里斯托弗·诺兰,剧情,动作,http://www.thedarkknightrises.com,254707,8.5,165分钟(美国/中国大陆),大卫·S·高耶,41.6%,42.8%,蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,2012
187,梅利莎·乔治,利亚姆·海姆斯沃斯,迈克尔·多曼,英国/澳大利亚,克里斯托弗·史密斯,剧情,悬疑,http://www.imdb.com/title/tt1187064,254045,8.3,99 分钟,克里斯托弗·史密斯,45.1%,35.9%,恐怖游轮 Triangle,2009
188,高山南,佐久间玲,山口胜平,日本,宫崎骏,动画,奇幻,http://www.imdb.com/title/tt0097814,161131,8.4,103分钟,宫崎骏,47.5%,36.7%,魔女宅急便 魔女の宅急便,1989
189,娜奥米·沃茨,劳拉·哈灵,安·米勒,法国/美国,大卫·林奇,剧情,悬疑,http://www.imdb.com/title/tt0166924,196324,8.3,147分钟,大卫·林奇,37.9%,42.5%,穆赫兰道 Mulholland Dr.,2001
190,亨利·托马斯,迪·沃伦斯,罗伯特·麦克纳夫顿,美国,史蒂文·斯皮尔伯格,剧情,科幻,http://www.imdb.com/title/tt0083866,130395,8.5,115分钟,梅丽莎·马西森,45.3%,39.9%,E.T. 外星人 E.T.: The Extra-Terrestrial,1982
191,凯拉·奈特莉,马克·鲁弗洛,詹姆斯·柯登,beginagainfilm.com,约翰·卡尼,喜剧,爱情,http://beginagainfilm.com,129152,8.5,104分钟,约翰·卡尼,44.4%,40.4%,再次出发之纽约遇见你 Begin Again,2013
192,阿诺·施瓦辛格,琳达·汉密尔顿,爱德华·福隆,美国/法国,詹姆斯·卡梅隆,动作,科幻,http://www.imdb.com/title/tt0103064,120220,8.5,137分钟,詹姆斯·卡梅隆,41.6%,42.2%,终结者2：审判日 Terminator 2: Judgment Day,1991
193,马尔科姆·麦克道威尔,帕特里克·马基,迈克尔·贝茨,英国/美国,斯坦利·库布里克,剧情,科幻,http://www.imdb.com/title/tt0066921,160400,8.4,136 分钟,斯坦利·库布里克,40.7%,41.4%,发条橙 A Clockwork Orange,1971
194,凯文·史派西,史蒂芬·鲍德温,加布里埃尔·伯恩,德国/美国,布莱恩·辛格,剧情,悬疑,http://www.imdb.com/title/tt0114814,97334,8.6,106分钟,Christopher McQuarrie,43.2%,43.7%,非常嫌疑犯 The Usual Suspects,1995
195,笠智众,原节子,杉村春子,日本,小津安二郎,剧情,家庭,http://www.imdb.com/title/tt0046438,39221,9.1,136 分钟,野田高梧,28.5%,64.9%,东京物语 東京物語,1953
196,梁正晖,邱岳峰,毕克,中国大陆,严定宪,动画,奇幻,http://www.imdb.com/title/tt0354770,66036,8.8,65分钟(中国大陆),王往,34.2%,53.0%,哪吒闹海,1979
197,Marius Weyers,Sandra Prinsloo,历苏,博茨瓦纳/南非,加美·尤伊斯,喜剧,,http://www.imdb.com/title/tt0080801,82636,8.6,109 分钟,加美·尤伊斯,38.0%,47.7%,上帝也疯狂 The Gods Must Be Crazy,1980
198,格伦·汉塞德,玛可塔·伊尔格洛娃,Alaistair Foley,www.foxsearchlight.com/once,约翰·卡尼,剧情,爱情,http://www.foxsearchlight.com/once,179143,8.3,85 分钟,约翰·卡尼,42.1%,38.6%,曾经 Once,2006
199,马修·麦康纳,詹妮弗·加纳,杰瑞德·莱托,美国,让-马克·瓦雷,剧情,同性,http://www.imdb.com/title/tt0790636,136555,8.6,117分钟,克莱格·鲍登,47.2%,42.0%,达拉斯买家俱乐部 Dallas Buyers Club,2013
200,吉娜·戴维斯,苏珊·萨兰登,哈威·凯特尔,美国/法国,雷德利·斯科特,剧情,惊悚,http://www.imdb.com/title/tt0103074,84126,8.6,130 分钟,卡莉·克里,41.6%,45.8%,末路狂花 Thelma & Louise,1991
201,杰克·吉伦哈尔,维拉·法米加,米歇尔·莫纳汉,美国/加拿大,邓肯·琼斯,剧情,动作,http://www.imdb.com/title/tt0945513,356835,8.3,93分钟,本·雷普利,49.9%,33.3%,源代码 Source Code,2011
202,金艺芬,俞承豪,童孝熙,www.thewayhome.co.kr,李廷香,剧情,家庭,http://www.thewayhome.co.kr,39983,9.1,80分钟,李廷香,29.3%,62.5%,爱·回家 ???...,2002
203,凯文·史派西,安妮特·贝宁,索拉·伯奇,www.dreamworks.com/ab/,萨姆·门德斯,剧情,家庭,http://www.dreamworks.com/ab/,159100,8.4,122 分钟,艾伦·鲍尔,44.7%,38.1%,美国丽人 American Beauty,1999
204,杰米·福克斯,莱昂纳多·迪卡普里奥,克里斯托弗·沃尔兹,unchainedmovie.com,昆汀·塔伦蒂诺,剧情,动作,http://unchainedmovie.com,224697,8.5,163分钟(中国大陆),昆汀·塔伦蒂诺,45.3%,40.8%,被解救的姜戈 Django Unchained,2012
205,山本圭,井川比佐志,片桐入,日本,神山征二郎,剧情,,http://www.imdb.com/title/tt0093132,42588,9.0,107 分钟,新藤兼人,30.7%,60.4%,忠犬八公物语 ハチ公物語,1987
206,里卡杜·达林,艾丽卡·里瓦斯,丽塔·科尔泰塞,阿根廷/西班牙,达米安·斯兹弗隆,剧情,喜剧,http://www.imdb.com/title/tt3011894,95009,8.7,122分钟,达米安·斯兹弗隆,43.3%,46.6%,荒蛮故事 Relatos salvajes,2014
207,桂纶镁,陈柏霖,梁又琳,bluegatecrossing.kingnet.com.tw,易智言,剧情,爱情,http://bluegatecrossing.kingnet.com.tw,242050,8.2,85分钟,易智言,43.6%,35.4%,蓝色大门 藍色大門,2002
208,吉约姆·卡内,玛丽昂·歌迪亚,蒂博?费尔哈格,法国/比利时,杨·塞谬尔,剧情,喜剧,http://www.imdb.com/title/tt0364517,284345,8.2,93 分钟,杨·塞谬尔,38.2%,38.7%,两小无猜 Jeux d'enfants,2003
209,基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯,美国/澳大利亚,莉莉·沃卓斯基,动作,科幻,http://www.imdb.com/title/tt0242653,129301,8.4,129 分钟,莉莉·沃卓斯基,39.3%,42.5%,黑客帝国3：矩阵革命 The Matrix Revolutions,2003
210,张曼玉,林青霞,梁家辉,香港/中国大陆,李惠民,剧情,动作,http://www.imdb.com/title/tt0105859,154620,8.4,88分钟,徐克,47.5%,36.5%,新龙门客栈 新龍門客棧,1992
211,克林特·伊斯特伍德,埃里·瓦拉赫,李·范·克里夫,意大利/西班牙/西德,赛尔乔·莱翁内,西部,冒险,http://www.imdb.com/title/tt0060196,40930,9.1,161 分钟,艾根诺尔·因克鲁西,29.9%,62.4%,"黄金三镖客 Il buono, il brutto, il cattivo.",1966
212,张震,杨静怡,张国柱,台湾,杨德昌,剧情,犯罪,http://www.imdb.com/title/tt0101985,81566,8.6,237分钟(导演剪辑版),杨德昌,36.0%,49.4%,牯岭街少年杀人事件 牯嶺街少年殺人事件,1991
213,马里奥·毛瑞尔,平采娜·乐维瑟派布恩,苏达拉·布查蓬,泰国,普特鹏·普罗萨卡·那·萨克那卡林,喜剧,爱情,http://www.imdb.com/title/tt1859438,395054,8.3,118分钟(泰国),普特鹏·普罗萨卡·那·萨克那卡林,41.4%,37.2%,初恋这件小事 ???????????????????????...???,2010
214,汤姆·哈迪,乔尔·埃哲顿,尼克·诺特,www.warriorfilm.com/,加文·欧康诺,剧情,家庭,http://www.warriorfilm.com/,75414,8.9,140分钟,加文·欧康诺,35.0%,54.7%,勇士 Warrior,2011
215,张曼玉,王祖贤,赵文卓,香港,徐克,剧情,奇幻,http://www.imdb.com/title/tt0106559,182361,8.3,99分钟,李碧华,44.6%,36.6%,青蛇,1993
216,米歇尔·塞罗,柯莱儿·布翁尼许,Nade Dieu,法国,费利普·弥勒,剧情,喜剧,http://www.imdb.com/title/tt0329485,85819,8.6,85 分钟,费利普·弥勒,45.4%,42.3%,蝴蝶 Le Papillon,2002
217,布拉德·皮特,梅拉尼·罗兰,克里斯托弗·沃尔兹,美国/德国,昆汀·塔伦蒂诺,剧情,犯罪,http://www.imdb.com/title/tt0361748,192047,8.4,153分钟,昆汀·塔伦蒂诺,45.8%,37.6%,无耻混蛋 Inglourious Basterds,2009
218,金·凯瑞,凯特·温丝莱特,克斯汀·邓斯特,www.eternalsunshine.com,米歇尔·贡德里,剧情,爱情,http://www.eternalsunshine.com,124722,8.4,108分钟,查理·考夫曼,41.3%,41.6%,暖暖内含光 Eternal Sunshine of the Spotless Mind,2004
219,马克西姆·戈达尔,瓦莱丽·勒梅西埃,凯德·麦拉德,法国/比利时,劳伦·泰拉德,喜剧,家庭,http://www.imdb.com/title/tt1264904,94933,8.6,92 分钟,哥瑞劳瑞·温格纳瑞恩,42.3%,45.1%,巴黎淘气帮 Le petit Nicolas,2009
220,李晋纬,林海峰,吴君如,香港,袁建滔,剧情,喜剧,http://www.imdb.com/title/tt0312941,112310,8.5,Japan: 75 分钟,谢立文,40.7%,42.5%,麦兜故事 麥兜故事,2001
221,维特维斯特·海伦亚沃恩酷,马里奥·毛瑞尔,赖拉·邦雅淑,http,楚克?萨克瑞科,剧情,爱情,http://www.theloveofsiam.com,199393,8.3,150分钟,楚克?萨克瑞科,40.3%,38.2%,爱在暹罗 ???????????,2007
222,凯文·科斯特纳,玛丽·麦克唐纳,格雷厄姆·格林,美国,凯文·科斯特纳,剧情,西部,http://www.imdb.com/title/tt0099348,49749,8.9,181 分钟,迈克尔·布雷克,36.6%,54.1%,与狼共舞 Dances with Wolves,1990
223,岩男润子,松本梨香,辻亲八,日本,今敏,动画,惊悚,http://www.imdb.com/title/tt0156887,65933,8.7,81 分钟,村井贞之,39.0%,49.8%,未麻的部屋 Perfect Blue,1997
224,查理·卓别林,弗吉尼亚·切瑞尔,佛罗伦斯·李,美国,查理·卓别林,剧情,喜剧,http://www.imdb.com/title/tt0021749,33652,9.2,87 分钟,查理·卓别林,28.8%,65.8%,城市之光 City Lights,1931
225,布拉德·皮特,汤姆·克鲁斯,克斯汀·邓斯特,美国,尼尔·乔丹,剧情,惊悚,http://www.imdb.com/title/tt0110148,173912,8.3,123分钟,安妮·莱斯,43.4%,37.0%,夜访吸血鬼 Interview with the Vampire: The Vampire Chronicles,1994
226,简·林奇,约翰·C·赖利,萨拉·西尔弗曼,disney.go.com/wreck-it-ralph,瑞奇·摩尔,喜剧,动画,http://disney.go.com/wreck-it-ralph,161597,8.7,108分钟,珍妮弗·李,39.3%,47.5%,无敌破坏王 Wreck-It Ralph,2012
