title,year,rating_score,rating_people,runtime,star5,star4,director,screenwriter,actor_1,actor_2,actor_3,country,genre_1,genre_2,imdb_link,quote
窃听风暴,2006,9.1,188766,137,62.6%,30.5%,弗洛里安·亨克尔·冯·多纳斯马,弗洛里安·亨克尔·冯·多纳斯马,乌尔里希·穆埃,马蒂娜·戈黛特,塞巴斯蒂安·科赫,德国,剧情,悬疑,http://www.imdb.com/title/tt0405094,别样人生。
活着,1994,9.0,218390,132,58.4%,33.8%,张艺谋,余华,葛优,巩俐,姜武,中国大陆/香港,剧情,家庭,http://www.imdb.com/title/tt0110081,张艺谋最好的电影。
V字仇杀队,2005,8.8,355822,132,54.8%,33.1%,詹姆斯·麦克特格,莉莉·沃卓斯基,娜塔莉·波特曼,雨果·维文,鲁珀特·格雷夫斯,美国/英国/德国,剧情,动作,http://www.imdb.com/title/tt0434409,一张面具背后的理想与革命。
闻香识女人,1992,8.9,277081,157,54.4%,36.2%,马丁·布莱斯,博·古德曼,阿尔·帕西诺,克里斯·奥唐纳,詹姆斯·瑞布霍恩,美国,剧情,,http://www.imdb.com/title/tt0105323,史上最美的探戈。
天使爱美丽,2001,8.7,430936,122,51.6%,35.2%,让-皮埃尔·热内,吉罗姆·洛朗,奥黛丽·塔图,马修·卡索维茨,贾梅尔·杜布兹,法国/德国,喜剧,爱情,http://www.imdb.com/title/tt0211915,法式小清新。 
美丽心灵,2001,8.9,267502,135,53.3%,38.0%,朗·霍华德,阿齐瓦·高斯曼,罗素·克劳,詹妮弗·康纳利,艾德·哈里斯,美国,剧情,传记,http://www.imdb.com/title/tt0268978,爱是一切逻辑和原由。
指环王2：双塔奇兵,2002,8.9,239883,179,57.1%,33.0%,彼得·杰克逊,弗兰·威尔士,伊利亚·伍德,西恩·奥斯汀,伊恩·麦克莱恩,www.lordoftherings.net,剧情,动作,http://www.lordoftherings.net,承前启后的史诗篇章。
指环王1：魔戒再现,2001,8.9,267360,178,55.9%,33.4%,彼得·杰克逊,弗兰·威尔士,伊利亚·伍德,西恩·奥斯汀,伊恩·麦克莱恩,www.lordoftherings.net,剧情,动作,http://www.lordoftherings.net,传说的开始。
教父2,1974,9.1,161127,202,62.1%,30.6%,弗朗西斯·福特·科波拉,马里奥·普佐,阿尔·帕西诺,罗伯特·杜瓦尔,黛安·基顿,美国,剧情,犯罪,http://www.imdb.com/title/tt0071562,优雅的孤独。
星际穿越,2014,9.1,410287,169,64.5%,27.8%,克里斯托弗·诺兰,乔纳森·诺兰,马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦,www.interstellarmovie.com,剧情,科幻,http://www.interstellarmovie.com,爱是一种力量，让我们超越时空感知它的存在。
哈尔的移动城堡,2004,8.8,295979,119,52.7%,36.4%,宫崎骏,宫崎骏,倍赏千惠子,木村拓哉,美轮明宏,日本,爱情,动画,http://www.imdb.com/title/tt0347149,带着心爱的人在天空飞翔。
七宗罪,1995,8.7,386844,127,48.3%,40.5%,大卫·芬奇,安德鲁·凯文·沃克,摩根·弗里曼,布拉德·皮特,凯文·史派西,美国,剧情,悬疑,http://www.imdb.com/title/tt0114369,警察抓小偷，老鼠玩死猫。
情书,1995,8.8,317622,117,52.3%,35.4%,岩井俊二,岩井俊二,中山美穗,丰川悦司,酒井美纪,日本,剧情,爱情,http://www.imdb.com/title/tt0113703,暗恋的极致。
死亡诗社,1989,8.9,235691,128,55.4%,34.6%,彼得·威尔,汤姆·舒尔曼,罗宾·威廉姆斯,罗伯特·肖恩·莱纳德,伊桑·霍克,美国,剧情,,http://www.imdb.com/title/tt0097165,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
