title,year,rating_score,rating_people,runtime,star5,star4,director,screenwriter,actor_1,actor_2,actor_3,country,genre_1,genre_2,imdb_link,quote
爱在暹罗,2007,8.3,199393,150,38.2%,40.3%,楚克?萨克瑞科,楚克?萨克瑞科,维特维斯特·海伦亚沃恩酷,马里奥·毛瑞尔,赖拉·邦雅淑,http,剧情,爱情,http://www.theloveofsiam.com,把爱放在心底，有爱就有希望。
与狼共舞,1990,8.9,49746,181,54.1%,36.6%,凯文·科斯特纳,迈克尔·布雷克,凯文·科斯特纳,玛丽·麦克唐纳,格雷厄姆·格林,美国,剧情,西部,http://www.imdb.com/title/tt0099348,充满诗意与情怀的史诗作品。 
未麻的部屋,1997,8.7,65933,81,49.8%,39.0%,今敏,村井贞之,岩男润子,松本梨香,辻亲八,日本,动画,惊悚,http://www.imdb.com/title/tt0156887,好的剧本是，就算你猜到了结局也猜不到全部。
城市之光,1931,9.2,33649,87,65.8%,28.8%,查理·卓别林,查理·卓别林,查理·卓别林,弗吉尼亚·切瑞尔,佛罗伦斯·李,美国,剧情,喜剧,http://www.imdb.com/title/tt0021749,永远的小人物，伟大的卓别林。
夜访吸血鬼,1994,8.3,173905,123,37.0%,43.4%,尼尔·乔丹,安妮·莱斯,布拉德·皮特,汤姆·克鲁斯,克斯汀·邓斯特,美国,剧情,惊悚,http://www.imdb.com/title/tt0110148,弥漫淡淡血腥气的优雅。
无敌破坏王,2012,8.7,161609,108,47.5%,39.3%,瑞奇·摩尔,珍妮弗·李,简·林奇,约翰·C·赖利,萨拉·西尔弗曼,disney.go.com/wreck-it-ralph,喜剧,动画,http://disney.go.com/wreck-it-ralph,迪士尼和皮克斯拿错剧本的产物。
中央车站,1998,8.7,68387,113,45.3%,44.2%,沃尔特·塞勒斯,马科斯·伯恩斯坦,费尔兰德·蒙特纳哥,马里利娅·佩拉,文尼西斯·狄·奥利维拉,http,剧情,,http://www.centraldobrasil.com.br/front.htm,心灵救赎。
遗愿清单,2007,8.5,104232,97,39.7%,46.1%,罗伯·莱纳,Justin Zackham,杰克·尼科尔森,摩根·弗里曼,西恩·海耶斯,美国,剧情,喜剧,http://www.imdb.com/title/tt0825232,用剩余不多的时间，去燃烧整个生命。
偷拐抢骗,2000,8.5,99554,104,40.1%,46.3%,盖·里奇,盖·里奇,布拉德·皮特,本尼西奥·德尔·托罗,杰森·斯坦森,英国/美国,喜剧,犯罪,http://www.imdb.com/title/tt0208092,典型盖·里奇式的英国黑色幽默黑帮片。
大卫·戈尔的一生,2003,8.7,68932,130,46.0%,42.8%,艾伦·帕克,查尔斯·伦道夫,凯文·史派西,凯特·温丝莱特,劳拉·琳妮,美国/德国/英国,剧情,悬疑,http://www.imdb.com/title/tt0289992,捍卫人权只是信仰，一点不妨碍其行为的残忍。
国王的演讲,2010,8.3,293258,118,31.8%,51.4%,汤姆·霍珀,大卫·塞德勒,科林·费尔斯,杰弗里·拉什,海伦娜·伯翰·卡特,英国/澳大利亚/美国,剧情,传记,http://www.imdb.com/title/tt1504320,皇上无话儿。
爆裂鼓手,2014,8.6,182731,107,44.9%,41.3%,达米安·沙泽勒,达米安·沙泽勒,迈尔斯·特勒,J·K·西蒙斯,保罗·雷瑟,美国,剧情,音乐,http://www.imdb.com/title/tt2582802,
血钻,2006,8.5,107371,143,37.3%,49.0%,爱德华·兹威克,查尔斯·里维特,莱昂纳多·迪卡普里奥,詹妮弗·康纳利,杰曼·翰苏,美国/德国,剧情,惊悚,http://www.imdb.com/title/tt0450259,每个美丽事物背后都是滴血的现实。
荒岛余生,2000,8.4,111016,143,37.2%,48.2%,罗伯特·泽米吉斯,威廉·保尔斯·杰宁,汤姆·汉克斯,海伦·亨特,克里斯·诺斯,美国,剧情,冒险,http://www.imdb.com/title/tt0162222,一个人的独角戏。
月球,2009,8.5,120327,97,39.0%,46.9%,邓肯·琼斯,邓肯·琼斯,山姆·洛克威尔,凯文·史派西,多米妮克·麦克艾丽戈特,英国,剧情,科幻,http://www.imdb.com/title/tt1182345,2009媲美《第九区》的又一部科幻神作。
寿司之神,2011,8.8,66618,81,50.9%,38.5%,大卫·贾柏,小野二郎 ,小野二郎 ,小野祯一,小野隆,日语,纪录片,,http://www.imdb.com/title/tt1772925,仪式主义的狂欢，偏执狂的完胜。
小森林 冬春篇,2015,8.9,77081,120,54.9%,36.1%,森淳一,森淳一,桥本爱,三浦贵大,松冈茉优,日本,剧情,,http://www.imdb.com/title/tt3474602,
千钧一发,1997,8.7,66230,106,46.2%,41.6%,安德鲁·尼科尔,安德鲁·尼科尔,伊桑·霍克,乌玛·瑟曼,裘德·洛,美国,剧情,科幻,http://www.imdb.com/title/tt0119177,一部能引人思考的科幻励志片。
我爱你,2011,9.0,44230,118,59.6%,31.5%,秋昌民,姜草,宋在浩,李顺载,尹秀晶,www.iloveyou2011.co.kr/,剧情,爱情,http://www.iloveyou2011.co.kr/,你要相信，这世上真的有爱存在，不管在什么年纪 
枪火,1999,8.6,79472,84,44.2%,41.3%,杜琪峰,游乃海,吴镇宇,任达华,黄秋生,香港,剧情,动作,http://www.imdb.com/title/tt0220644,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
角斗士,2000,8.4,112617,155,37.6%,45.9%,雷德利·斯科特,大卫·弗兰佐尼,罗素·克劳,杰昆·菲尼克斯,康妮·尼尔森,英国/美国,剧情,动作,http://www.imdb.com/title/tt0172495,罗马斗兽场的鸦雀无声，久久停留在这样的肃穆中。
廊桥遗梦,1995,8.5,80655,135,43.4%,41.5%,克林特·伊斯特伍德,理查德·拉·格拉文斯,克林特·伊斯特伍德,梅丽尔·斯特里普,Annie Corley,美国,剧情,爱情,http://www.imdb.com/title/tt0112579,这样确切的爱，一生只有一次。
导盲犬小Q,2004,8.4,106318,100,38.1%,45.5%,崔洋一,丸山升一,小林薰,椎名桔平,香川照之,日本,剧情,,http://www.imdb.com/title/tt0400761,宠物的意义在于化解人的孤独。
疯狂的石头,2006,8.2,255539,106,32.5%,46.1%,宁浩,张承,郭涛,刘桦,连晋,中国大陆/香港,喜剧,犯罪,http://www.imdb.com/title/tt0843270,中国版《两杆大烟枪》。
不一样的天空,1993,8.6,71564,118,42.8%,44.9%,莱塞·霍尔斯道姆,皮特·海格斯,约翰尼·德普,莱昂纳多·迪卡普里奥,朱丽叶特·刘易斯,美国,剧情,爱情,http://www.imdb.com/title/tt0108550,生命有裂缝，阳光才照得进来。
假如爱有天意,2003,8.2,195082,127,35.7%,41.5%,郭在容,郭在容,孙艺珍,曹承佑,赵寅成,韩国,剧情,爱情,http://www.imdb.com/title/tt0348568,琼瑶阿姨在韩国的深刻版。
我们俩,2005,8.6,65240,88,44.8%,42.9%,马俪文,马俪文,宫哲,金雅琴,罗忠学,中国大陆,剧情,,http://www.imdb.com/title/tt0757376,想外婆了，有没有？！
速度与激情5,2011,8.4,192504,130,39.3%,44.1%,林诣彬,克里斯·摩根,范·迪塞尔,保罗·沃克,道恩·强森,www.fastfivemovie.com,剧情,动作,http://www.fastfivemovie.com,爆米花动作电影新标杆。
