,quote,star_num,star_score,title
159,一场没有春天的噩梦。,91771,8.7,梦之安魂曲
160,做一颗让别人需要你的棋子。,151138,8.5,战争之王
161,10年的完美句点。,233745,8.6,哈利·波特与死亡圣器(下)
162,人生的N种可能性。,100925,8.7,罗生门
163,《我是山姆》的《美丽人生》。,134973,8.6,7号房的礼物
164,我是一个演员。,244970,8.3,喜剧之王
165,最美的飞翔。,46938,9.1,迁徙的鸟
166,出门必备：本草纲目。,110360,8.6,荒野生存
167,只有有信仰的人才能说出事实真相。,111427,8.7,一次别离
168,偷情本没有这样美。,199179,8.4,花样年华
169,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,164977,8.5,谍影重重
170,谁说王家卫镜头很晃？,134845,8.5,谍影重重2
171,类型片的极致。 ,123039,8.5,勇闯夺命岛
172,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,151948,8.6,时空恋旅人
173,天使暂时离开。,89151,8.7,绿里奇迹
174,现实与童话交相辉映的旅程。,96497,8.6,燕尾蝶
175,天使保护事件始末。,64551,8.8,地球上的星星
176,与同名歌曲无关。,106179,8.6,卡萨布兰卡
177,,113940,8.6,心迷宫
178,华太师是黄霑，吴镇宇四大才子之一。,257091,8.3,唐伯虎点秋香
179,"In memory, love lives forever...",156273,8.4,英国病人
180,王家卫是一种风格，张国荣是一个代表。,145296,8.5,阿飞正传
181,乐观比一切都有力量。,93371,8.6,叫我第一名
182,当发哥的风衣、墨镜出现在了凯奇身上??,186838,8.4,变脸
183,,307776,8.6,超能陆战队
184,故事的反转与反转，分裂电影的始祖。,66363,8.8,惊魂记
185,科幻真正的魅力不是视觉效果能取代的。 ,145896,8.5,这个男人来自地球
186,诺兰就是保证。,254700,8.5,蝙蝠侠：黑暗骑士崛起
187,不要企图在重复中寻找已经失去的爱。,254022,8.3,恐怖游轮
188,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,161128,8.4,魔女宅急便
189,大卫·林奇的梦境迷宫。,196315,8.3,穆赫兰道
190,生病的E.T.皮肤的颜色就像柿子饼。,130380,8.5,E.T. 外星人
191,爱我就给我看你的播放列表。,129148,8.5,再次出发之纽约遇见你
192,少见的超越首部的续集，动作片中的经典。,120219,8.5,终结者2：审判日
193,我完全康复了。,160401,8.4,发条橙
194,我不信仰上帝，但我敬畏上帝。,97339,8.6,非常嫌疑犯
195,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,39219,9.1,东京物语
196,想你时你在闹海。,66042,8.8,哪吒闹海
197,纯净原始的笑与感动。,82636,8.6,上帝也疯狂
198,有些幸福无关爱情。,179133,8.3,曾经
199,Jared Leto的腿比女人还美！,136549,8.6,达拉斯买家俱乐部
200,没有了退路，只好飞向自由。,84116,8.6,末路狂花
201,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,356853,8.3,源代码
202,献给所有外婆的电影。,39983,9.1,爱·回家
203,每个人的内心都是深不可测的大海。 ,159098,8.4,美国丽人
204,热血沸腾，那个低俗、性感的无耻混蛋又来了。,224709,8.5,被解救的姜戈
205,养狗三日，便会对你终其一生。,42586,9.0,忠犬八公物语
206,,95004,8.7,荒蛮故事
207,青春的窃窃私语。 ,242066,8.2,蓝色大门
208,"Love me, if you dare. ",284334,8.2,两小无猜
209,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,129298,8.4,黑客帝国3：矩阵革命
210,嬉笑怒骂，调风动月。,154617,8.4,新龙门客栈
211,最棒的西部片。,40927,9.1,黄金三镖客
212,弱者送给弱者的一刀。,81566,8.6,牯岭街少年杀人事件
213,黑小鸭速效美白记。,395034,8.3,初恋这件小事
214,热血沸腾，相当完美的娱乐拳击大餐。,75413,8.9,勇士
215,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,182348,8.3,青蛇
216,我们长途跋涉寻找的东西，有可能一直就在身边。 ,85817,8.6,蝴蝶
217,昆汀同学越来越变态了，比北野武还杜琪峰。,192047,8.4,无耻混蛋
218,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。,124718,8.4,暖暖内含光
219,四百击的反面。,94934,8.6,巴黎淘气帮
220,麦兜是一只很哲学的猪。 ,112309,8.5,麦兜故事
221,把爱放在心底，有爱就有希望。,199393,8.3,爱在暹罗
222,充满诗意与情怀的史诗作品。 ,49746,8.9,与狼共舞
223,好的剧本是，就算你猜到了结局也猜不到全部。,65933,8.7,未麻的部屋
224,永远的小人物，伟大的卓别林。,33649,9.2,城市之光
225,弥漫淡淡血腥气的优雅。,173905,8.3,夜访吸血鬼
226,迪士尼和皮克斯拿错剧本的产物。,161609,8.7,无敌破坏王
227,心灵救赎。,68387,8.7,中央车站
228,用剩余不多的时间，去燃烧整个生命。,104232,8.5,遗愿清单
229,典型盖·里奇式的英国黑色幽默黑帮片。,99554,8.5,偷拐抢骗
230,捍卫人权只是信仰，一点不妨碍其行为的残忍。,68932,8.7,大卫·戈尔的一生
231,权力不是来自枪和子弹，权力来自谎言。,125830,8.4,罪恶之城
232,皇上无话儿。,293258,8.3,国王的演讲
233,,182731,8.6,爆裂鼓手
234,每个美丽事物背后都是滴血的现实。,107371,8.5,血钻
235,一个人的独角戏。,111016,8.4,荒岛余生
236,2009媲美《第九区》的又一部科幻神作。,120327,8.5,月球
237,仪式主义的狂欢，偏执狂的完胜。,66618,8.8,寿司之神
238,,77081,8.9,小森林 冬春篇
239,一部能引人思考的科幻励志片。,66230,8.7,千钧一发
240,你要相信，这世上真的有爱存在，不管在什么年纪 ,44230,9.0,我爱你
241,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,79472,8.6,枪火
242,罗马斗兽场的鸦雀无声，久久停留在这样的肃穆中。,112617,8.4,角斗士
243,这样确切的爱，一生只有一次。,80655,8.5,廊桥遗梦
244,宠物的意义在于化解人的孤独。,106318,8.4,导盲犬小Q
245,中国版《两杆大烟枪》。,255539,8.2,疯狂的石头
246,生命有裂缝，阳光才照得进来。,71564,8.6,不一样的天空
247,琼瑶阿姨在韩国的深刻版。,195082,8.2,假如爱有天意
248,想外婆了，有没有？！,65240,8.6,我们俩
249,爆米花动作电影新标杆。,192504,8.4,速度与激情5
